"Year","Sept_FFDI"
1953,7.09707218227964
1957,23.9003550479938
1958,8.93884019108562
1963,6.53333228594297
1965,15.9145168226003
1968,15.5142988353581
1972,32.4854565740148
1976,27.9033668691462
1977,20.0256924773708
1979,4.73767968328484
1982,42.7988684105151
1986,10.5885628250254
1987,28.2091241894346
1991,11.672900808838
1994,25.2443013418288
1997,5.59237827263869
2002,68.4868816606926
2004,18.7840124559609
2006,61.4604399544852
2009,50.7379479346337
2015,30.885174565501
2018,38.6145403312914
