"Year","DJF_FFDI"
1951,38.6455168703418
1955,33.3539390233688
1956,36.8057911475156
1965,43.2473245939995
1968,52.5383219560676
1971,46.5779622285741
1972,35.4675634172227
1974,37.2747553223999
1976,50.148208042932
1984,44.0872578641553
1985,63.9418935156488
1989,51.7549947570757
1996,40.7346220319233
1999,48.1686437367361
2000,50.9981033165561
2001,55.5817891736051
2006,59.4842236368859
2008,63.4381236479568
2009,76.4502927042532
2011,47.2304779344479
2012,45.8640205939267
2018,60.376158531266
