"Year","Dec_FFDI"
1950,37.8394755078601
1954,32.1218050011309
1955,32.7629167548506
1964,21.5382956343812
1967,46.6567899860861
1970,46.586696195396
1971,31.9757786209965
1973,57.0357983163941
1975,58.0948522823714
1983,57.5450257470597
1984,42.3333523325074
1988,34.4680428030171
1995,28.7848176130485
1998,51.2846623540441
1999,53.7008286348153
2000,66.7417320482659
2005,73.040268043419
2007,74.3437919946976
2008,35.2957512950484
2010,66.186697278704
2011,33.6885795923539
2017,47.3896398255319
