"Year","Feb_FFDI"
1950,22.9625918483321
1954,32.5138030526958
1955,30.4050959384803
1964,38.8282474253601
1967,48.4610220013243
1970,47.2377164766386
1971,29.8496701954763
1973,15.6080915793712
1975,52.3110386736981
1983,121.195492996282
1984,42.4692214453891
1988,55.2064075387402
1995,41.9602198167281
1998,92.5417317972555
1999,33.8531011606192
2000,50.8381928035191
2005,52.2909549325059
2007,58.8042237418039
2008,41.0385382103198
2010,44.4400547324837
2011,45.0893982313412
2017,67.8985579519561
