"Year","Jan_FFDI"
1951,33.7105680110651
1952,59.3348647443763
1956,35.4765938928117
1959,55.9125543239313
1960,50.1181367568639
1961,52.6022157545214
1962,42.7681609314757
1966,40.0640150458266
1969,74.5092256224001
1974,29.9638444355556
1978,51.7909387200426
1980,47.5777524312337
1981,57.5024772743126
1985,108.869902243346
1989,57.2960774310223
1990,85.7030415885892
1992,67.8061075251856
1993,48.4375672773881
1996,43.9110512176117
2001,51.9987444361567
2003,76.2650918341302
2012,61.9416690677791
2013,72.931791511965
2014,66.5511895877458
2016,77.4052331767557
2019,92.3777173855604
