"Year","Oct_FFDI"
1951,16.9958533786592
1952,11.4506254629655
1956,8.7953239127155
1959,15.2118602067361
1960,24.3702933447702
1961,29.4933885557827
1962,17.0782415484969
1966,15.0285083060657
1969,26.0933009019662
1974,8.7884002103434
1978,14.5142334838966
1980,15.7979820775779
1981,23.2173473019621
1985,22.6544154113505
1989,11.1186796328722
1990,31.5297670529518
1992,10.636265928095
1993,9.20787490497936
1996,18.8166166569763
2001,28.0580974306379
2003,23.5107897886466
2012,34.4806914474025
2013,46.3295106351118
2014,60.8060965104537
2016,22.1769908640808
2019,46.7063601522735
