"Year","Nov_FFDI"
1951,38.7945734412123
1952,32.763682468629
1953,14.5262258703058
1954,19.3954873105664
1955,35.9907227677184
1956,25.7404735656012
1957,30.3102568011263
1958,46.1414436860518
1959,20.4502104102791
1960,42.9449182072759
1961,22.7340226689458
1962,30.0892503333814
1963,31.8543532730697
1964,28.1754815361717
1965,24.1619208199637
1966,39.7281363185866
1967,44.0160373010677
1968,55.5323649319735
1969,29.4897156463557
1970,35.6721394443925
1971,20.6800989464764
1972,15.3505733498247
1973,44.1930082659701
1974,15.118000482584
1975,19.2173092416871
1976,25.5202477896884
1977,21.7507579233739
1978,38.9035573769441
1979,37.6877031119871
1980,21.9236260781556
1981,37.2422851793694
1982,30.4975073265307
1983,81.8300015833471
1984,17.6742713874553
1985,39.4305552940864
1986,20.199457176836
1987,23.0379327262119
1988,76.268104933041
1989,57.2984982775403
1990,25.0370128804987
1991,42.0708125886463
1992,23.907180815032
1993,27.9089014210226
1994,42.1782477572883
1995,41.1904215131487
1996,36.9842880381134
1997,50.1924040658133
1998,49.984297739995
1999,28.5627733494812
2000,25.923139522602
2001,38.733159490478
2002,26.5588981950438
2003,66.6508127848307
2004,45.6447507932589
2005,35.3865210628097
2006,36.9271510483383
2007,94.6433661820053
2008,38.3185673544417
2009,54.1601476545458
2010,45.923281591176
2011,20.9487581542044
2012,41.3818340301514
2013,49.659705562509
2014,33.9748068722812
2015,59.6992129288711
2016,82.2332309210971
2017,33.815634628395
2018,39.2210217595616
2019,60.8027758164839
2020,48.535598110843
